"id";"type";"specialization";"name";"documentation";"sourceid";"targetid"
"id-09e9e744e8974781ad52a02f5403ff4f";"CompositionRelationship";;;;"id-76602ed754ba47d69987d2483fe99f71";"id-2bc2be7c5ab74035b1b554bc09c213cf"
"id-36b60003877f419a8f758a6d78f800d3";"CompositionRelationship";;;;"id-38fbc1ae8d194e9c9b540fc37a550b4e";"id-82345c862d534b09ba12aaca2e34dd03"
"id-b7f007216e15427c85f9a79307370c5d";"CompositionRelationship";;;;"id-38fbc1ae8d194e9c9b540fc37a550b4e";"id-4119b884e63a4636b38039e9acbeeecb"
"id-dfea1187d69941fa923c4562c245933d";"CompositionRelationship";;;;"id-6554d3ff299f4f1da9f0a0a3e561ddb1";"id-8ec059a348f3437b83c8e0c41054b246"
"id-c9402b0aa3f74f248271df46948ac16d";"CompositionRelationship";;;;"id-f6972b6e413f45bd836c04dd5b3975cc";"id-e3db9bcce34742c59d56a47f1eada354"
"id-0d4cf9f116d649f48fb5eef9e69b63a0";"AssociationRelationship";;;;"id-bacccb30a9344c55a3fdd2d91d4738eb";"id-82345c862d534b09ba12aaca2e34dd03"
"id-87e2335d8c5e4dfd860c252cfb048647";"AssociationRelationship";;;;"id-bacccb30a9344c55a3fdd2d91d4738eb";"id-4119b884e63a4636b38039e9acbeeecb"
"id-8bb6c90f9c5a4d8cbdbf0b8069e5f83e";"AssociationRelationship";;;;"id-bacccb30a9344c55a3fdd2d91d4738eb";"id-8ec059a348f3437b83c8e0c41054b246"
"id-edc750bfcfff40da901356130b1b90b2";"AssociationRelationship";;;;"id-3b96ef3dad1d4b09bc1d5efc6703422d";"id-e3db9bcce34742c59d56a47f1eada354"
"id-31710d03c2db42e68591d1ef43a149c6";"AssociationRelationship";;;;"id-65a74ecebd19402d98e78521f3c9d258";"id-2bc2be7c5ab74035b1b554bc09c213cf"
"id-477d7e094c264a68b5738d72c0fe04b3";"AssociationRelationship";;;;"id-65a74ecebd19402d98e78521f3c9d258";"id-3c738372322d4ee787a9387b03c9523b"
"id-aafa0e7802c242ceb3b0788289589938";"AssignmentRelationship";;;;"id-82345c862d534b09ba12aaca2e34dd03";"id-e545ad810861458a870230e767e458ee"
"id-4d06f9101f434c4d93e666f0ec33c090";"AssignmentRelationship";;;;"id-4119b884e63a4636b38039e9acbeeecb";"id-14f5221b0a3c411e9eac2502923bb570"
"id-f2cad22556d541e3886b89324fbd8d2a";"AccessRelationship";;;;"id-4119b884e63a4636b38039e9acbeeecb";"id-371932210a474c7cb33961fe60f9a86c"
"id-3a1d817b424144ce860ea891bd3d26b5";"AssignmentRelationship";;;;"id-8ec059a348f3437b83c8e0c41054b246";"id-5e0de9cf34dd4dc6a2993e19cb4b7ab7"
"id-51a95316419b40a18b2eda4ea0f8b194";"AssignmentRelationship";;;;"id-8ec059a348f3437b83c8e0c41054b246";"id-407fa7d8ea634cccb1cab201fc34c1a4"
"id-f40147c56bb341379933461f6415ef84";"AssignmentRelationship";;;;"id-e3db9bcce34742c59d56a47f1eada354";"id-7215c34337a94a83aaf27286ca26ff9a"
"id-7ab9ba1170114174a502b1622dcb5c12";"AssignmentRelationship";;;;"id-2bc2be7c5ab74035b1b554bc09c213cf";"id-7ec6d44c75e7499581c16427b0c779d3"
"id-2a4cefc46fca4b2bb3430cb31e5c38da";"AssignmentRelationship";;;;"id-3c738372322d4ee787a9387b03c9523b";"id-123918315d974b0b8ac5657bd832c448"
"id-66c3a6e8447a4973977c41007b290f09";"CompositionRelationship";;;;"id-750378272ad040ce814589603cff219d";"id-ee2b8ba9fd6a4591ad7409b51e02acb7"
"id-a9232392e1444928bc39e3ecda86dc81";"AssociationRelationship";;;;"id-bacccb30a9344c55a3fdd2d91d4738eb";"id-ee2b8ba9fd6a4591ad7409b51e02acb7"
"id-b45701c486c0499fad48f4fee5b4ec33";"CompositionRelationship";;;;"id-6554d3ff299f4f1da9f0a0a3e561ddb1";"id-9cc4806e78a64658a30ff5c151b87ac8"
"id-c6de0c7794be4fde8c6908429e25cab6";"AssignmentRelationship";;;;"id-9cc4806e78a64658a30ff5c151b87ac8";"id-7ec6d44c75e7499581c16427b0c779d3"
"id-1db27262c25c42c69598aa3bea537b9a";"CompositionRelationship";;;;"id-76602ed754ba47d69987d2483fe99f71";"id-c4cfc11a161c46b5bc7cc50cbbff9f88"
"id-7bb4d37114264a209a8cfa99d50c54c2";"AccessRelationship";;;;"id-c4cfc11a161c46b5bc7cc50cbbff9f88";"id-ed85d463a38e43a5997bfcbf7d836dd5"
"id-0b66f55f182848e9a406e56882c7f6ab";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-b889e819050d4258a3674e0336256d02"
"id-7a1335a4a4374728bd977c1cd4baf1ea";"AssociationRelationship";;;;"id-1579f74ba9814643af5058fc09c2d9fd";"id-49eef22223b84cd196ca2a3391d8990a"
"id-b0b4c75f7f25424aa201ccf9aed42329";"AggregationRelationship";;;;"id-d2022025a9f24d838c52f977f5935eb3";"id-1579f74ba9814643af5058fc09c2d9fd"
"id-3813566918334a1c9e0b2f4e92b3b566";"AggregationRelationship";;;;"id-d2022025a9f24d838c52f977f5935eb3";"id-6fb803588cdf459ebe78c76631918499"
"id-474984c919794ee79cebf40a6f97996b";"SpecializationRelationship";;;;"id-24b6348692f14afd951291c5f8cf060a";"id-b889e819050d4258a3674e0336256d02"
"id-6b5005dea5f54bd9ba88e044ad55734c";"SpecializationRelationship";;;;"id-72229589d0a34eafbccc533881013293";"id-b889e819050d4258a3674e0336256d02"
"id-807ed47a044641608add680635f720da";"SpecializationRelationship";;;;"id-6fb803588cdf459ebe78c76631918499";"id-b889e819050d4258a3674e0336256d02"
"id-9c3fcb0981cd4f13b7a04e542e02af7b";"SpecializationRelationship";;;;"id-1579f74ba9814643af5058fc09c2d9fd";"id-b889e819050d4258a3674e0336256d02"
"id-8e6b4d4601c94a84913233b01e112001";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-24b6348692f14afd951291c5f8cf060a"
"id-7a2eb43f00e74f5f8cbdf420bfc7c9dd";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-6fb803588cdf459ebe78c76631918499"
"id-435edd331f144f79a90f06b886daf9e4";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-72229589d0a34eafbccc533881013293"
"id-ca78accfcc4f4601b823994784e43bbd";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-1579f74ba9814643af5058fc09c2d9fd"
"id-35b4ff8167bb46e091c02988ba4a77f1";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-49eef22223b84cd196ca2a3391d8990a"
"id-9937925727974487b8043372f2ffc085";"CompositionRelationship";;;;"id-e422717d48e94092910e1f2a19e7734f";"id-d2022025a9f24d838c52f977f5935eb3"
"id-c750dc0cc4c54dd699a5c8e42cc6b1f9";"FlowRelationship";;;;"id-b889e819050d4258a3674e0336256d02";"id-ee2b8ba9fd6a4591ad7409b51e02acb7"
"id-86ec537da0a145628a76bc7b3b8c5e2a";"CompositionRelationship";;;;"id-40ceb8af4e564a77a64c2ef711ea57f5";"id-3fceb27c6070442e830c7b62e6206b96"
"id-8806ef6699904736bd32bf9eb4bf9405";"CompositionRelationship";;;;"id-40ceb8af4e564a77a64c2ef711ea57f5";"id-4bf08111e77046e58aa513faf75206fe"
"id-90d0ac8d43f24740a1fefea8d8aee3c9";"CompositionRelationship";;;;"id-40ceb8af4e564a77a64c2ef711ea57f5";"id-01f27a0ee02d4fff854399d19446f581"
"id-bd84ecb0e026470fb3a5a2cb5a8404ba";"ServingRelationship";;;;"id-40ceb8af4e564a77a64c2ef711ea57f5";"id-b889e819050d4258a3674e0336256d02"
"id-28fb8f598f204a18b441e6110a28a65c";"AssignmentRelationship";;;;"id-479bc550b1884fca9cd95c1f112a12be";"id-40ceb8af4e564a77a64c2ef711ea57f5"
"id-202cf4b35c0546a2b8662c48762576b5";"AssignmentRelationship";;;;"id-ee2b8ba9fd6a4591ad7409b51e02acb7";"id-545855797e6f416ab5351b1794d30452"
"id-a097d5d397084bb6b05bf950a623a043";"AssignmentRelationship";;;;"id-ee2b8ba9fd6a4591ad7409b51e02acb7";"id-e9469e521dec4e2c8e2c7c9ab3d4866b"
"id-08a5ac0a345b447bb5ee1d777877a96a";"AssignmentRelationship";;;;"id-e9469e521dec4e2c8e2c7c9ab3d4866b";"id-545855797e6f416ab5351b1794d30452"
"id-73c408d026df43f4b09a79f24f227d76";"ServingRelationship";;;;"id-986a9280877b4afea21b3d4aec0667da";"id-ee2b8ba9fd6a4591ad7409b51e02acb7"
